Part Name,CPN,Link,Qty,Cost per unit ,Total Cost ,Manufacturer,MPN,Category,,
"Pixhawk 6C Mini, PM02",UGOD-CTRL-001,https://holybro.com/products/pixhawk-6c?variant=42420293533885,1,$167.99,$167.99,Holybro,20179,Control,Total Price:,$674.00
Pocket Radio Controller (M2),UGOD-CTRL-002,https://radiomasterrc.com/products/pocket-radio-controller-m2?variant=47236836327655,1,$64.99,$64.99,Radiomaster,W4-12194-ELCH,Control,,
XR1 Nano Multi-Frequency ExpressLRS Receiver,UGOD-CTRL-003,https://radiomasterrc.com/products/xr1-nano-multi-frequency-expresslrs-receiver?variant=50591604146407,1,$11.99,$11.99,Radiomaster,N/A,Control,,
Tekko32 F4 50A ESC (AM32),UGOD-ELEC-001,https://holybro.com/products/tekko32-f4-4in1-50a-esc?srsltid=AfmBOoqphRD_2II0RiHGeAiFYcUWqYE3Rdze9-q_b8vux1jxwqfNg8-w,1,$62.99,$62.99,Holybro,31102,Electronics ,,
Liperior 5000mAh 4S 35C XT90 Lipo Battery,UGOD-ELEC-002,http://rcbattery.com/liperior-5000mah-4s-35c-14-8v-lipo-battery-with-xt90-plug.html?gad_source=1&gad_campaignid=12748770885&gclid=CjwKCAjw6NrBBhB6EiwAvnT_rvyUc0r2T7uC5JbeUwzL843DAgMbk5HVusyqCxwAYMow7oftSJtCkRoCQaMQAvD_BwE,2,$37.99,$75.98,RCBattery,LP50004S35 ,Electronics ,,
DYNAMIXEL XL330-M288-T,UGOD-ELEC-003,https://www.robotis.us/dynamixel-xl330-m288-t/?srsltid=AfmBOor-XoFwk2dXh1Dm7GUvsjCCtjNnEPhOg88ccBMghxwRPgX6aDGK,2,$27.49,$54.98,Dynamixel,8809677570319,Electronics ,,
DC-DC Boost Converter 12V/3.5A Step-up Boost Voltage Converter Module 3V-5V to 12V Adjustable Voltage Regulator,UGOD-ELEC-004,https://www.amazon.com/Converter-Step-up-Voltage-Adjustable-Regulator/dp/B07RTBY7CY/ref=asc_df_B07RTBY7CY?mcid=6f5ec0ccf63439cd9e2091f00c1e7829&hvocijid=2602112346604967676-B07RTBY7CY-&hvexpln=73&tag=hyprod-20&linkCode=df0&hvadid=721245378154&hvpos=&hvnetw=g&hvrand=2602112346604967676&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9007807&hvtargid=pla-2281435177578&psc=1,1,$8.40,$8.40,Keenso,N/A,Electronics ,,
DC-DC Converter Step Down Module 3A 5V 12V Mini BEC For RC Plane FPV Promotion Black & Red RC Air Plane Accessory,UGOD-ELEC-005,https://www.aliexpress.us/item/3256801452296829.html?spm=a2g0o.tesla.0.0.4dd4ZFesZFeswz&pdp_npi=6%40dis%21USD%21%241.90%21%241.18%21%21%21%21%21%40210337bc17571864063392622e37f9%2112000016926230386%21btf%21%21%21%211%210%21&afTraceInfo=1005001638611581__pc__c_ppc_item_bridge_pc_main__gQQXgyF__1757186406523&gatewayAdapt=glo2usa4itemAdapt,1,$1.18,$1.18,"Droyuke",N/A,Electronics ,,
Emax Pro Series 2810 950kv Cinelifter Motor,UGOD-PROP-001,https://pyrodrone.com/collections/motors/products/emax-pro-series-2810-950kv-cinelifter-motor,4,$27.99,$111.96,Emax,101099010,Propulsion,,
Gemfan 8038 Carbon Nylon 2-Blade Propeller (Set of 2),UGOD-PROP-002,https://www.getfpv.com/propellers/commercial-industrial-propellers/gemfan-8038-carbon-nylon-2-blade-propeller-set-of-2.html,2,$3.99,$7.98,Gemfan,764613348545,Propulsion,,
Wind Sensor Rev. P,UGOD-SENS-001,https://moderndevice.com/products/wind-sensor-rev-p?variant=42521581224178&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,1,$39.95,$39.95,Modern Devices,48621953503,Sensors,,
Holybro PMW3901 Optical Flow Sensor,UGOD-SENS-002,https://pyrodrone.com/products/holybro-pmw3901-optical-flow-sensor?variant=41416797978667&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopFJaR-f4tiHIAwonKjbixCAZ50_LBoFnCQxWQ4Gz8G3f7gREarEnk&gQT=2,1,$26.99,$26.99,Holybro,T3-14082,Sensors,,
